Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/book,6588,26,490,2683.3415748299917,95.72385100000247,21041.60444900117,3367.925166970249,10.978983976619523,0.04332932352642799,500,3600,5300,6000,7500,9300,12000,13000,19000,21000,21000
GET,/api/concerts,1255,1,8,220.31829703032162,2.4063540004135575,5084.583413001383,752.4,2.0914731163718123,0.0016665124433241534,8,43,75,170,650,1400,2500,3300,4800,5100,5100
GET,/health,688,1,5,228.589873646813,2.501683999071247,7082.397562000551,56.917151162790695,1.1465605610070175,0.0016665124433241534,5,40,78,140,600,1600,2500,2700,7100,7100,7100
,Aggregated,8531,28,340,2123.0364073170826,2.4063540004135575,21041.60444900117,2716.130817020279,14.217017653998353,0.046662348413076295,340,830,4100,5200,7000,8500,11000,12000,16000,21000,21000
