timestamp,elapsed_s,num_pods,hpa_targets,cpu_total_m
1780236162,0,1,1%/50%,4
1780236177,15,1,1%/50%,144
1780236192,30,2,57%/50%,487
1780236208,46,4,194%/50%,933
1780236223,61,4,<unknown>/50%,1285
1780236238,76,4,2%/50%,514
1780236253,91,4,1%/50%,513
1780236268,106,4,51%/50%,513
1780236284,122,4,51%/50%,880
1780236299,137,4,50%/50%,1322
1780236314,152,6,109%/50%,1241
1780236329,167,6,98%/50%,2066
1780236345,183,8,132%/50%,1265
1780236360,198,10,84%/50%,1900
1780236375,213,10,84%/50%,2430
1780236390,228,10,76%/50%,1721
1780236406,244,10,65%/50%,1265
1780236421,259,10,56%/50%,1297
1780236437,275,10,51%/50%,1286
1780236452,290,10,51%/50%,1293
1780236467,305,10,51%/50%,1270
1780236482,320,10,50%/50%,1245
1780236498,336,10,49%/50%,1232
1780236513,351,10,49%/50%,1290
1780236528,366,10,51%/50%,1305
1780236543,381,10,52%/50%,1389
1780236559,397,10,55%/50%,1314
1780236574,412,10,52%/50%,1313
1780236589,427,10,52%/50%,1345
1780236604,442,10,53%/50%,1304
1780236620,458,10,52%/50%,1314
1780236635,473,10,52%/50%,1367
1780236650,488,10,54%/50%,1337
1780236665,503,10,53%/50%,1308
1780236681,519,10,52%/50%,1307
1780236696,534,10,52%/50%,1371
1780236711,549,10,54%/50%,1302
1780236726,564,10,52%/50%,1325
1780236742,580,10,53%/50%,1326
1780236757,595,10,53%/50%,1306
1780236772,610,10,52%/50%,1292
1780236787,625,10,51%/50%,451
