timestamp,elapsed_s,num_pods,hpa_targets,cpu_total_m
1780232641,0,1,2%/50%,4
1780232656,15,1,1%/50%,88
1780232671,30,1,35%/50%,88
1780232686,45,1,35%/50%,200
1780232702,61,2,80%/50%,200
1780232717,76,2,80%/50%,347
1780232732,91,2,73%/50%,184
1780232747,106,2,36%/50%,171
1780232763,122,2,25%/50%,127
1780232778,137,2,104%/50%,522
1780232793,152,4,179%/50%,895
1780232809,168,6,177%/50%,1447
1780232824,183,8,95%/50%,1455
1780232839,198,8,63%/50%,1604
1780232854,213,8,44%/50%,880
1780232870,229,8,46%/50%,928
1780232885,244,8,47%/50%,940
1780232900,259,8,46%/50%,929
1780232915,274,8,45%/50%,908
1780232931,290,8,47%/50%,951
1780232946,305,8,47%/50%,943
1780232961,320,8,48%/50%,971
1780232976,335,8,25%/50%,504
1780232992,351,8,10%/50%,210
1780233007,366,8,10%/50%,206
1780233022,381,7,11%/50%,228
1780233037,396,7,12%/50%,218
1780233053,412,6,11%/50%,197
1780233068,427,6,12%/50%,190
1780233083,442,5,26%/50%,1018
1780233098,457,7,81%/50%,1290
1780233113,472,9,103%/50%,2005
1780233129,488,10,114%/50%,2043
1780233144,503,10,82%/50%,1924
1780233159,518,10,73%/50%,1386
1780233174,533,10,55%/50%,1423
1780233190,549,10,56%/50%,1486
1780233205,564,10,59%/50%,1370
1780233220,579,10,54%/50%,1369
1780233235,594,10,54%/50%,1415
1780233251,610,10,56%/50%,1321
1780233266,625,10,52%/50%,670
1780233281,640,10,26%/50%,195
1780233296,655,10,7%/50%,194
1780233312,671,10,7%/50%,259
1780233327,686,9,10%/50%,230
1780233342,701,9,10%/50%,206
1780233357,716,8,9%/50%,215
1780233372,731,8,10%/50%,201
1780233388,747,7,10%/50%,213
1780233403,762,7,12%/50%,178
1780233418,777,6,10%/50%,175
1780233433,792,6,11%/50%,213
1780233449,808,5,14%/50%,195
1780233464,823,5,15%/50%,166
1780233479,838,4,13%/50%,47
1780233494,853,4,4%/50%,141
1780233510,869,3,14%/50%,118
1780233525,884,3,15%/50%,180
1780233540,899,2,24%/50%,68
1780233555,914,2,13%/50%,93
1780233570,929,2,18%/50%,27
