Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/book,7277,0,200,432.2575614749269,90.8254319997468,5109.619447000114,3380.3075443177136,6.7350437560113665,0.0,200,350,510,660,1100,1500,2000,2200,2700,5100,5100
GET,/api/concerts,1418,0,3,11.78920034695733,2.0532530002128624,361.4227100001699,753.0,1.312394124780008,0.0,3,3,6,12,35,53,79,100,330,360,360
GET,/health,703,0,3,11.430143862024197,2.0863059999101097,278.0771749999076,56.0,0.6506439137661111,0.0,3,3,6,13,35,50,69,100,280,280,280
,Aggregated,9398,0,150,337.3367474015777,2.0532530002128624,5109.619447000114,2735.222387742073,8.698081794557485,0.0,150,250,380,490,970,1400,1800,2100,2700,5100,5100
