timestamp,elapsed_s,num_pods,hpa_targets,cpu_total_m
1780060902,0,1,1%/50%,4
1780060917,15,1,20%/50%,50
1780060932,30,1,20%/50%,50
1780060947,45,2,76%/50%,191
1780060962,60,2,60%/50%,520
1780060978,76,2,30%/50%,154
1780060993,91,2,39%/50%,195
1780061008,106,2,28%/50%,169
1780061023,121,2,33%/50%,191
1780061039,137,2,38%/50%,191
1780061054,152,2,38%/50%,201
1780061069,167,2,40%/50%,184
1780061084,182,2,36%/50%,157
1780061100,198,2,31%/50%,270
1780061115,213,2,54%/50%,341
1780061130,228,3,68%/50%,811
1780061145,243,4,88%/50%,886
1780061160,258,4,60%/50%,601
1780061176,274,5,72%/50%,1101
1780061191,289,6,66%/50%,1215
1780061206,304,7,66%/50%,1425
1780061221,319,8,61%/50%,1449
1780061237,335,9,64%/50%,1444
1780061252,350,9,60%/50%,1583
1780061267,365,10,57%/50%,1301
1780061283,381,10,60%/50%,1749
1780061298,396,10,57%/50%,1690
1780061313,411,10,51%/50%,1287
1780061328,426,10,52%/50%,1319
1780061344,442,10,55%/50%,1390
1780061359,457,10,53%/50%,1326
1780061374,472,10,55%/50%,1380
1780061389,487,10,55%/50%,1396
1780061405,503,10,53%/50%,1335
1780061420,518,10,52%/50%,1324
1780061435,533,10,53%/50%,1329
1780061450,548,10,53%/50%,1342
1780061465,563,10,54%/50%,1350
1780061481,579,10,53%/50%,1331
1780061496,594,10,54%/50%,1365
1780061511,609,10,55%/50%,1376
1780061526,624,10,51%/50%,1294
1780061542,640,10,51%/50%,1294
1780061557,655,10,52%/50%,1314
1780061572,670,10,52%/50%,1316
1780061587,685,10,53%/50%,1338
1780061603,701,10,51%/50%,1299
1780061618,716,10,53%/50%,1329
1780061633,731,10,53%/50%,1349
1780061648,746,10,45%/50%,1129
1780061664,762,10,27%/50%,695
1780061679,777,10,10%/50%,256
1780061694,792,10,7%/50%,193
1780061709,807,9,7%/50%,190
1780061725,823,9,9%/50%,206
1780061740,838,8,8%/50%,193
1780061755,853,8,10%/50%,218
1780061770,868,7,10%/50%,209
1780061785,883,7,10%/50%,190
1780061801,899,6,12%/50%,217
1780061816,914,6,12%/50%,188
1780061831,929,5,13%/50%,134
1780061846,944,5,10%/50%,137
1780061862,960,4,13%/50%,107
1780061877,975,4,13%/50%,131
1780061892,990,3,13%/50%,126
1780061907,1005,3,24%/50%,183
1780061922,1020,2,21%/50%,98
1780061938,1036,2,23%/50%,115
1780061953,1051,2,31%/50%,206
1780061968,1066,2,41%/50%,197
1780061983,1081,2,39%/50%,172
1780061999,1097,2,34%/50%,29
