Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/book,7596,41,1700,1997.7209547109,98.8945290000629,15211.984131000463,3363.1270405476566,12.660458443004503,0.06833580781505853,1700,2300,2700,2900,3500,4100,7000,9000,15000,15000,15000
GET,/api/concerts,1461,3,26,87.8795557139023,2.0975279994672746,6418.818295000165,751.4537987679671,2.435088176043915,0.005000181059638429,26,43,57,67,130,260,630,870,6000,6400,6400
GET,/health,756,1,21,91.46953967065528,1.808422999602044,6191.037927000252,56.92460317460318,1.2600456270288842,0.0016667270198794765,21,38,56,68,130,270,630,1300,6200,6200,6200
,Aggregated,9813,45,1300,1566.5170054899627,1.808422999602044,15211.984131000463,2719.5783144807906,16.355592246077304,0.07500271589457644,1300,2000,2400,2700,3300,3900,5700,8500,15000,15000,15000
