Method,Name,Error,Occurrences,First Seen,Last Seen
GET,/health,"ConnectionResetError(104, 'Connection reset by peer')",1,2026-06-06T15:15:45Z,2026-06-06T15:15:45Z
GET,/api/concerts,"ConnectionResetError(104, 'Connection reset by peer')",3,2026-06-06T15:15:22Z,2026-06-06T15:15:41Z
POST,/api/book,CatchResponseError('Status 0'),41,2026-06-06T15:15:22Z,2026-06-06T15:15:45Z
