Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/book,5052,0,400,809.4895200609639,91.35028800028522,5014.009987000009,3381.61737925574,5.61201843278276,0.0,400,790,1200,1500,2200,2800,3400,3800,4600,5000,5000
GET,/api/concerts,954,0,3,20.94868272746322,2.171921999888582,612.6281840001866,753.0,1.0597516993022076,0.0,3,11,24,33,61,84,130,170,610,610,610
GET,/health,495,0,3,23.897824602012076,2.0902809997096483,648.876325999936,57.0,0.5498711647322775,0.0,3,11,27,34,61,84,180,310,650,650,650
,Aggregated,6501,0,220,633.9571637975677,2.0902809997096483,5014.009987000009,2742.733117981849,7.221641296817245,0.0,220,510,840,1100,1900,2600,3300,3600,4600,5000,5000
