timestamp,elapsed_s,num_pods,hpa_targets,cpu_total_m
1780756117,0,1,1%/50%,4
1780756133,16,1,1%/50%,4
1780756148,31,1,42%/50%,105
1780756163,46,2,63%/50%,158
1780756178,61,2,72%/50%,541
1780756194,77,2,31%/50%,155
1780756209,92,2,38%/50%,190
1780756224,107,2,37%/50%,186
1780756239,122,2,39%/50%,199
1780756254,137,2,37%/50%,188
1780756270,153,4,178%/50%,893
1780756285,168,6,194%/50%,1776
1780756300,183,8,130%/50%,2107
1780756315,198,8,66%/50%,1805
1780756331,214,8,57%/50%,1397
1780756346,229,8,50%/50%,1017
1780756361,244,8,50%/50%,1019
1780756377,260,8,50%/50%,1005
1780756392,275,8,50%/50%,1013
1780756407,290,8,50%/50%,996
1780756422,305,8,49%/50%,992
1780756437,320,8,49%/50%,843
1780756453,336,8,42%/50%,203
1780756468,351,8,10%/50%,195
1780756483,366,8,9%/50%,206
1780756498,381,7,10%/50%,183
1780756514,397,7,10%/50%,184
1780756529,412,6,10%/50%,222
1780756544,427,6,14%/50%,221
1780756559,442,5,90%/50%,1130
1780756575,458,7,112%/50%,2323
1780756590,473,9,111%/50%,2199
1780756605,488,10,75%/50%,1734
1780756620,503,10,52%/50%,1319
1780756636,519,10,56%/50%,1401
1780756651,534,10,56%/50%,1421
1780756666,549,10,54%/50%,1352
1780756681,564,10,56%/50%,1418
1780756697,580,10,56%/50%,1413
1780756712,595,10,56%/50%,1413
1780756727,610,10,55%/50%,1378
1780756743,626,10,20%/50%,510
1780756758,641,10,7%/50%,193
1780756774,657,10,8%/50%,207
1780756789,672,9,8%/50%,203
1780756804,687,9,9%/50%,215
1780756819,702,8,11%/50%,256
1780756834,717,8,9%/50%,192
1780756850,733,7,9%/50%,185
1780756865,748,7,10%/50%,191
1780756880,763,6,10%/50%,172
1780756895,778,6,14%/50%,214
1780756911,794,5,11%/50%,168
1780756926,809,5,15%/50%,195
1780756941,824,4,14%/50%,75
1780756956,839,4,14%/50%,141
1780756972,855,3,18%/50%,123
1780756987,870,3,20%/50%,157
1780757002,885,2,25%/50%,133
1780757017,900,2,27%/50%,135
1780757032,915,2,28%/50%,140
