timestamp,elapsed_s,num_pods,hpa_targets,cpu_total_m
1780052115,0,1,2%/50%,5
1780052130,15,1,2%/50%,6
1780052146,31,3,107%/50%,269
1780052161,46,4,192%/50%,1169
1780052176,61,4,101%/50%,1217
1780052191,76,4,68%/50%,858
1780052207,92,4,66%/50%,502
1780052222,107,4,50%/50%,501
1780052237,122,4,51%/50%,516
1780052252,137,4,51%/50%,512
1780052268,153,4,48%/50%,486
1780052283,168,4,50%/50%,507
1780052298,183,4,47%/50%,477
1780052313,198,4,49%/50%,496
1780052329,214,4,51%/50%,512
1780052344,229,4,50%/50%,502
1780052359,244,4,50%/50%,502
1780052374,259,4,51%/50%,514
1780052389,274,4,51%/50%,513
1780052405,290,4,51%/50%,513
1780052420,305,4,51%/50%,515
1780052435,320,4,43%/50%,433
