timestamp,elapsed_s,num_pods,hpa_targets,cpu_total_m
1780224416,0,1,1%/50%,4
1780224432,16,1,1%/50%,103
1780224447,31,1,41%/50%,151
1780224462,46,2,60%/50%,166
1780224477,61,2,66%/50%,552
1780224493,77,2,70%/50%,213
1780224508,92,2,42%/50%,213
1780224523,107,2,42%/50%,172
1780224538,122,2,34%/50%,213
1780224554,138,2,42%/50%,624
1780224569,153,4,124%/50%,936
1780224584,168,6,187%/50%,1578
1780224599,183,8,188%/50%,1593
1780224615,199,8,97%/50%,1727
1780224630,214,8,66%/50%,1351
1780224645,229,8,64%/50%,972
1780224660,244,8,49%/50%,985
1780224675,259,8,49%/50%,996
1780224691,275,8,50%/50%,1009
1780224706,290,8,50%/50%,1015
1780224721,305,8,47%/50%,946
1780224737,321,8,43%/50%,867
1780224752,336,8,11%/50%,230
1780224768,352,8,11%/50%,231
1780224783,367,7,10%/50%,211
1780224798,382,7,11%/50%,200
1780224813,397,6,13%/50%,230
1780224829,413,6,12%/50%,191
1780224844,428,5,14%/50%,211
1780224859,443,7,62%/50%,777
1780224874,458,9,107%/50%,2030
1780224890,474,10,89%/50%,2381
1780224905,489,10,58%/50%,1724
1780224920,504,10,55%/50%,1385
1780224935,519,10,58%/50%,1469
1780224951,535,10,58%/50%,1451
1780224966,550,10,54%/50%,1359
1780224981,565,10,54%/50%,1373
1780224996,580,10,55%/50%,1394
1780225012,596,10,54%/50%,1359
1780225027,611,10,53%/50%,1342
1780225042,626,10,46%/50%,1169
1780225057,641,10,10%/50%,252
1780225072,656,10,7%/50%,180
1780225088,672,10,8%/50%,215
1780225103,687,9,8%/50%,227
1780225118,702,9,10%/50%,202
1780225133,717,8,8%/50%,206
1780225149,733,8,11%/50%,235
1780225164,748,7,11%/50%,197
1780225179,763,7,12%/50%,217
1780225194,778,6,15%/50%,235
1780225210,794,5,13%/50%,193
1780225225,809,5,17%/50%,213
1780225240,824,4,16%/50%,206
1780225255,839,4,19%/50%,193
1780225271,855,3,15%/50%,151
1780225286,870,3,26%/50%,200
1780225301,885,2,24%/50%,116
1780225316,900,2,31%/50%,159
1780225332,916,2,13%/50%,69
