timestamp,elapsed_s,num_pods,hpa_targets,cpu_total_m
1780235026,0,1,1%/50%,4
1780235041,15,1,1%/50%,4
1780235057,31,1,1%/50%,368
1780235072,46,3,147%/50%,368
1780235087,61,3,<unknown>/50%,1048
1780235103,77,3,<unknown>/50%,156
1780235118,92,3,31%/50%,969
1780235133,107,5,158%/50%,1001
1780235148,122,7,133%/50%,1503
1780235163,137,8,133%/50%,1820
1780235179,153,8,100%/50%,1569
1780235194,168,8,66%/50%,993
1780235209,183,8,49%/50%,991
1780235224,198,8,49%/50%,988
1780235240,214,8,49%/50%,989
1780235255,229,8,49%/50%,1008
1780235270,244,8,50%/50%,1021
1780235285,259,8,51%/50%,1013
1780235301,275,8,50%/50%,1023
1780235316,290,8,49%/50%,986
1780235331,305,8,50%/50%,1019
1780235346,320,8,49%/50%,995
1780235362,336,8,50%/50%,1004
1780235377,351,8,50%/50%,1000
1780235392,366,8,50%/50%,1005
1780235407,381,8,49%/50%,998
1780235423,397,8,50%/50%,1010
1780235438,412,8,49%/50%,995
1780235453,427,8,50%/50%,1014
1780235468,442,8,50%/50%,1010
1780235483,457,8,50%/50%,1024
1780235499,473,8,51%/50%,1004
1780235514,488,8,50%/50%,1017
1780235529,503,8,50%/50%,1020
1780235544,518,8,51%/50%,1009
1780235560,534,8,50%/50%,1024
1780235575,549,8,51%/50%,978
1780235590,564,8,48%/50%,1020
1780235605,579,8,51%/50%,982
1780235621,595,8,49%/50%,1006
1780235636,610,8,50%/50%,664
1780235651,625,8,33%/50%,323
