Method,Name,Error,Occurrences,First Seen,Last Seen
GET,/api/concerts,"ConnectionResetError(104, 'Connection reset by peer')",1,2026-05-31T13:44:32Z,2026-05-31T13:44:32Z
POST,/api/book,CatchResponseError('Status 0'),8,2026-05-31T13:44:32Z,2026-05-31T13:44:50Z
GET,/api/concerts,"ConnectionRefusedError(111, 'Connection refused')",2,2026-05-31T13:44:49Z,2026-05-31T13:44:50Z
