Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/book,5148,8,3500,4197.767547695802,1.9984499995189253,19146.34374399975,3376.6021756021755,8.580386280331311,0.013333933613568471,3500,5300,6500,6900,7700,8400,10000,11000,17000,19000,19000
GET,/api/concerts,1015,3,46,157.52876552119022,1.9942689996241825,5594.022956998742,750.7743842364532,1.6917428272214998,0.0050002251050881765,46,74,98,150,310,700,1400,2600,4900,5600,5600
GET,/health,502,0,46,159.34364402981382,2.47255199974461,3271.6571100008878,57.0,0.8367043342514215,0.0,46,72,110,150,370,760,1600,2000,3300,3300,3300
,Aggregated,6665,11,2600,3278.3180107794383,1.9942689996241825,19146.34374399975,2726.691372843211,11.108833441804233,0.018334158718656648,2600,4000,5600,6400,7500,8100,9600,11000,16000,19000,19000
