Method,Name,Error,Occurrences,First Seen,Last Seen
GET,/api/concerts,"ConnectionResetError(104, 'Connection reset by peer')",1,2026-05-31T14:19:29Z,2026-05-31T14:19:29Z
POST,/api/book,CatchResponseError('Status 0'),28,2026-05-31T14:20:31Z,2026-05-31T14:20:31Z
