timestamp,elapsed_s,num_pods,hpa_targets,cpu_total_m
1780237069,0,1,1%/50%,4
1780237085,16,1,9%/50%,24
1780237100,31,3,166%/50%,415
1780237115,46,4,200%/50%,1181
1780237130,61,4,2%/50%,822
1780237145,76,4,68%/50%,515
1780237161,92,5,55%/50%,553
1780237176,107,5,54%/50%,856
1780237191,122,5,45%/50%,573
1780237206,137,5,46%/50%,586
1780237222,153,5,46%/50%,586
1780237237,168,5,47%/50%,589
1780237252,183,6,55%/50%,695
1780237267,198,8,94%/50%,1522
1780237283,214,10,109%/50%,2427
1780237298,229,10,96%/50%,2516
1780237313,244,10,55%/50%,1352
1780237328,259,10,54%/50%,1382
1780237344,275,10,58%/50%,1453
1780237359,290,10,58%/50%,1473
1780237374,305,10,57%/50%,1431
1780237389,320,10,57%/50%,1440
1780237404,335,10,57%/50%,1440
1780237420,351,10,56%/50%,1420
1780237435,366,10,56%/50%,1400
1780237450,381,10,59%/50%,1489
1780237465,396,10,56%/50%,1404
1780237481,412,10,56%/50%,1402
1780237496,427,10,50%/50%,1251
1780237511,442,10,57%/50%,1445
1780237526,457,10,57%/50%,1447
1780237542,473,10,55%/50%,1392
1780237557,488,10,56%/50%,1418
1780237572,503,10,55%/50%,1387
1780237587,518,10,57%/50%,1432
1780237603,534,10,59%/50%,1475
1780237618,549,10,57%/50%,1437
1780237633,564,10,56%/50%,1422
1780237648,579,10,59%/50%,1475
1780237664,595,10,56%/50%,1401
1780237679,610,10,57%/50%,1447
1780237694,625,10,15%/50%,396
