Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/book,6609,28,520,2659.5630613360536,92.22775400121463,17444.011952999062,3366.8659403843244,10.997382878734115,0.04659202914276823,520,3100,4900,5600,7600,10000,12000,13000,17000,17000,17000
GET,/api/concerts,1325,1,5,220.282422765309,2.3778409995429683,4208.351368000876,752.4316981132075,2.2048013790774252,0.001664001040813151,5,37,79,180,690,1400,2100,2600,4200,4200,4200
GET,/health,640,0,8,284.9688485000117,2.345438999327598,7164.499780999904,56.0,1.0649606661204167,0.0,8,45,120,270,850,1700,2900,4200,7200,7200,7200
,Aggregated,8574,29,350,2105.3541574030814,2.345438999327598,17444.011952999062,2715.7020060648474,14.267144923931957,0.04825603018358138,350,980,3600,4700,6900,9300,12000,13000,15000,17000,17000
