timestamp,elapsed_s,num_pods,hpa_targets,cpu_total_m
1780757237,0,1,1%/50%,4
1780757252,15,1,2%/50%,5
1780757267,30,3,173%/50%,433
1780757282,45,4,200%/50%,1336
1780757298,61,4,9%/50%,1026
1780757313,76,6,122%/50%,1287
1780757328,91,8,195%/50%,2341
1780757343,106,10,97%/50%,2309
1780757359,122,10,73%/50%,2381
1780757374,137,10,67%/50%,1879
1780757389,152,10,60%/50%,1522
1780757404,167,10,59%/50%,1486
1780757419,182,10,60%/50%,1519
1780757435,198,10,58%/50%,1466
1780757450,213,10,59%/50%,1482
1780757465,228,10,59%/50%,1497
1780757480,243,10,60%/50%,1506
1780757496,259,10,60%/50%,1513
1780757511,274,10,59%/50%,1492
1780757526,289,10,60%/50%,1510
1780757541,304,10,59%/50%,1494
1780757557,320,10,59%/50%,1486
1780757572,335,10,58%/50%,1462
1780757587,350,10,59%/50%,1495
1780757602,365,10,59%/50%,1490
1780757618,381,10,60%/50%,1505
1780757633,396,10,59%/50%,1490
1780757648,411,10,59%/50%,1498
1780757663,426,10,59%/50%,1498
1780757679,442,10,60%/50%,1503
1780757694,457,10,60%/50%,1504
1780757709,472,10,59%/50%,1480
1780757724,487,10,60%/50%,1511
1780757740,503,10,59%/50%,1485
1780757755,518,10,59%/50%,1475
1780757770,533,10,60%/50%,1507
1780757785,548,10,58%/50%,1470
1780757801,564,10,60%/50%,1509
1780757816,579,10,59%/50%,1484
1780757831,594,10,60%/50%,1503
1780757846,609,10,59%/50%,819
1780757862,625,10,32%/50%,40
