Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/book,7694,13,1700,1964.1450444697084,1.6657459996167745,18699.945888000002,3376.1794905120873,12.82337009772271,0.02166672878481872,1700,2100,2500,2700,3400,4100,6800,9900,15000,19000,19000
GET,/api/concerts,1477,2,26,83.29854473054482,2.017862999764475,6721.764611000253,751.980365605958,2.4616737242444042,0.003333342889972111,26,46,59,69,110,260,640,1300,5100,6700,6700
GET,/health,749,0,31,79.08876656476295,2.106996000293293,6222.919391000232,57.0,1.2483369122945556,0.0,31,51,64,73,150,260,640,780,6200,6200,6200
,Aggregated,9920,15,1300,1541.7743355719713,1.6657459996167745,18699.945888000002,2734.848084677419,16.53338073426167,0.025000071674790833,1300,1900,2200,2400,3100,3900,5100,8900,15000,19000,19000
