Method,Name,Error,Occurrences,First Seen,Last Seen
GET,/api/concerts,"ConnectionResetError(104, 'Connection reset by peer')",2,2026-06-06T14:47:53Z,2026-06-06T14:48:11Z
POST,/api/book,CatchResponseError('Status 0'),13,2026-06-06T14:47:53Z,2026-06-06T14:48:12Z
