timestamp,elapsed_s,num_pods,hpa_targets,cpu_total_m
1780667497,0,1,2%/50%,5
1780667512,15,1,2%/50%,5
1780667527,30,1,64%/50%,161
1780667543,46,2,71%/50%,179
1780667558,61,2,70%/50%,516
1780667573,76,2,34%/50%,171
1780667588,91,2,34%/50%,173
1780667604,107,2,35%/50%,176
1780667619,122,2,35%/50%,175
1780667634,137,2,34%/50%,171
1780667649,152,2,36%/50%,182
1780667664,167,2,40%/50%,200
1780667680,183,2,31%/50%,159
1780667695,198,2,36%/50%,181
1780667710,213,2,45%/50%,229
1780667725,228,4,76%/50%,382
1780667741,244,4,91%/50%,458
1780667756,259,5,114%/50%,921
1780667771,274,6,70%/50%,704
1780667786,289,6,72%/50%,1165
1780667802,305,6,64%/50%,1137
1780667817,320,8,59%/50%,890
1780667832,335,8,67%/50%,1016
1780667847,350,10,76%/50%,1841
1780667862,365,10,61%/50%,1224
1780667878,381,10,63%/50%,2150
1780667893,396,10,51%/50%,1281
1780667908,411,10,50%/50%,1252
1780667923,426,10,53%/50%,1327
1780667939,442,10,50%/50%,1262
1780667954,457,10,51%/50%,1299
1780667969,472,10,50%/50%,1272
1780667984,487,10,50%/50%,1260
1780668000,503,10,51%/50%,1285
1780668015,518,10,52%/50%,1322
1780668030,533,10,56%/50%,1419
1780668045,548,10,53%/50%,1332
1780668061,564,10,49%/50%,1249
1780668076,579,10,50%/50%,1260
1780668091,594,10,53%/50%,1336
1780668106,609,10,51%/50%,1264
1780668122,625,10,50%/50%,1247
1780668137,640,10,49%/50%,1282
1780668152,655,10,51%/50%,1239
1780668167,670,10,49%/50%,1317
1780668183,686,10,52%/50%,1281
1780668198,701,10,51%/50%,1287
1780668213,716,10,51%/50%,1247
1780668228,731,10,49%/50%,1281
1780668244,747,10,51%/50%,902
1780668259,762,10,36%/50%,460
1780668274,777,10,18%/50%,199
1780668289,792,10,7%/50%,227
1780668304,807,9,9%/50%,212
1780668320,823,9,9%/50%,221
1780668335,838,8,9%/50%,213
1780668350,853,8,10%/50%,202
1780668365,868,7,10%/50%,184
1780668381,884,7,10%/50%,279
1780668396,899,6,15%/50%,177
1780668411,914,6,11%/50%,194
1780668426,929,5,12%/50%,121
1780668442,945,5,9%/50%,132
1780668457,960,4,10%/50%,176
1780668472,975,4,17%/50%,176
1780668487,990,3,17%/50%,154
1780668503,1006,3,20%/50%,183
1780668518,1021,2,24%/50%,122
1780668533,1036,2,24%/50%,195
1780668548,1051,2,39%/50%,191
1780668563,1066,2,38%/50%,178
1780668579,1082,2,40%/50%,200
1780668594,1097,2,37%/50%,188
