Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1780667494,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1780667495,1,POST,/api/book,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,230.0333230000433,230.0333230000433,230.0333230000433,230.0333230000433,3337.0
1780667495,1,,Aggregated,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,230.0333230000433,230.0333230000433,230.0333230000433,230.0333230000433,3337.0
1780667496,2,POST,/api/book,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,3,0,170,182.94893700002982,144.57430800001703,230.0333230000433,3367.0
1780667496,2,,Aggregated,0.000000,0.000000,170,170,230,230,230,230,230,230,230,230,230,3,0,170,182.94893700002982,144.57430800001703,230.0333230000433,3367.0
1780667497,3,POST,/api/book,0.000000,0.000000,140,140,170,170,170,170,170,170,170,170,170,5,0,140,165.11045100002093,137.18083600002728,230.0333230000433,3370.4
1780667497,3,,Aggregated,0.000000,0.000000,140,170,170,230,230,230,230,230,230,230,230,5,0,140,165.11045100002093,137.18083600002728,230.0333230000433,3370.4
1780667498,4,POST,/api/book,0.500000,0.000000,140,140,140,140,170,170,170,170,170,170,170,7,0,140,157.49446314287394,137.18083600002728,230.0333230000433,3370.714285714286
1780667498,4,,Aggregated,0.500000,0.000000,140,140,170,170,230,230,230,230,230,230,230,7,0,140,157.49446314287394,137.18083600002728,230.0333230000433,3370.714285714286
1780667499,5,POST,/api/book,1.000000,0.000000,140,140,170,270,300,300,300,300,300,300,300,10,0,140,180.76990600001182,137.18083600002728,299.06503199998724,3374.1
1780667499,5,GET,/api/concerts,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,3.457777999983591,3.457777999983591,3.457777999983591,3.457777999983591,753.0
1780667499,5,,Aggregated,1.000000,0.000000,140,170,230,230,270,300,300,300,300,300,300,11,0,140,164.65062163637288,3.457777999983591,299.06503199998724,3135.818181818182
