Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/book,6890,0,220,577.6032035703925,91.69946600002277,5243.598137000049,3382.099854862119,6.376801113937033,0.0,220,400,710,1000,1700,2200,2700,3000,4400,5200,5200
GET,/api/concerts,1393,0,3,18.638747544865545,2.099724000004244,1296.4690070000415,753.0,1.289242953804686,0.0,3,5,14,21,42,70,110,230,770,1300,1300
GET,/health,687,0,3,15.987445895197837,2.0757429999775923,1128.8988759999938,57.0,0.6358290805913993,0.0,3,4,9,16,39,66,95,180,1100,1100,1100
,Aggregated,8970,0,160,447.78519768784855,2.0757429999775923,5243.598137000049,2719.1478260869567,8.301873148333117,0.0,160,290,430,670,1400,2000,2500,2900,4200,5200,5200
