Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/book,6844,0,280,608.9454046103168,91.70699800006332,4284.553695999875,3381.5777323202806,6.334173180350628,0.0,280,560,850,1100,1700,2100,2500,2800,3500,4300,4300
GET,/api/concerts,1328,0,3,17.733415182236918,2.153862999875855,545.6874760002393,753.0,1.2290739309622492,0.0,3,8,19,26,47,73,110,180,400,550,550
GET,/health,717,0,3,14.405657765689629,2.194705999954749,273.5818549999749,57.0,0.6635888618222384,0.0,3,5,14,21,41,57,84,130,270,270,270
,Aggregated,8889,0,160,472.6629745902823,2.153862999875855,4284.553695999875,2720.7077286533918,8.226835973135115,0.0,160,340,590,800,1500,2000,2400,2700,3400,4300,4300
