timestamp,elapsed_s,num_pods,hpa_targets,cpu_total_m
1780669298,0,1,2%/50%,5
1780669313,15,1,2%/50%,5
1780669328,30,1,2%/50%,149
1780669343,45,2,59%/50%,160
1780669359,61,2,64%/50%,323
1780669374,76,2,75%/50%,164
1780669389,91,2,32%/50%,164
1780669404,106,2,32%/50%,188
1780669419,121,2,37%/50%,188
1780669435,137,2,36%/50%,181
1780669450,152,2,35%/50%,175
1780669465,167,2,33%/50%,165
1780669480,182,2,32%/50%,164
1780669496,198,2,36%/50%,181
1780669511,213,2,54%/50%,271
1780669526,228,3,75%/50%,378
1780669541,243,4,90%/50%,450
1780669556,258,5,111%/50%,879
1780669572,274,5,87%/50%,811
1780669587,289,6,74%/50%,1143
1780669602,304,7,66%/50%,837
1780669617,319,7,72%/50%,1003
1780669633,335,9,67%/50%,1476
1780669648,350,9,63%/50%,1103
1780669663,365,9,68%/50%,1662
1780669678,380,9,61%/50%,1362
1780669694,396,10,56%/50%,1260
1780669709,411,10,58%/50%,1312
1780669724,426,10,54%/50%,1549
1780669739,441,10,50%/50%,1252
1780669755,457,10,51%/50%,1277
1780669770,472,10,49%/50%,1245
1780669785,487,10,50%/50%,1266
1780669800,502,10,52%/50%,1311
1780669815,517,10,51%/50%,1280
1780669831,533,10,55%/50%,1390
1780669846,548,10,52%/50%,1307
1780669861,563,10,49%/50%,1242
1780669876,578,10,48%/50%,1315
1780669892,594,10,52%/50%,1313
1780669907,609,10,52%/50%,1227
1780669922,624,10,49%/50%,1245
1780669937,639,10,49%/50%,1294
1780669953,655,10,51%/50%,1267
1780669968,670,10,50%/50%,1222
1780669983,685,10,48%/50%,1218
1780669998,700,10,48%/50%,1275
1780670014,716,10,51%/50%,1288
1780670029,731,10,51%/50%,1256
1780670044,746,10,50%/50%,955
1780670059,761,10,38%/50%,535
1780670075,777,10,21%/50%,258
1780670090,792,10,10%/50%,165
1780670105,807,9,6%/50%,186
1780670120,822,9,8%/50%,228
1780670135,837,8,10%/50%,231
1780670151,853,8,11%/50%,220
1780670166,868,7,11%/50%,180
1780670182,884,7,10%/50%,211
1780670197,899,6,12%/50%,184
1780670212,914,6,12%/50%,176
1780670227,929,5,11%/50%,183
1780670243,945,5,14%/50%,222
1780670258,960,4,17%/50%,133
1780670273,975,4,13%/50%,119
1780670288,990,3,11%/50%,181
1780670304,1006,3,24%/50%,167
1780670319,1021,2,22%/50%,124
1780670334,1036,2,24%/50%,178
1780670349,1051,2,35%/50%,196
1780670365,1067,2,39%/50%,203
1780670380,1082,2,40%/50%,189
1780670395,1097,2,37%/50%,118
