Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/book,4959,0,310,848.6372065735058,91.28853199990772,6935.442493999972,3382.0766283524904,5.5083632754945375,0.0,310,530,780,1100,2900,4200,5000,5400,6300,6900,6900
GET,/api/concerts,980,0,3,28.144834301014487,1.9625259999429545,1205.510871000115,753.0,1.0885654385933952,0.0,3,9,24,34,59,79,250,580,1200,1200,1200
GET,/health,485,0,3,16.972795344328265,2.017066000007617,885.8155679999982,57.0,0.5387288139977517,0.0,3,5,13,19,48,68,92,200,890,890,890
,Aggregated,6424,0,190,660.6795844886371,1.9625259999429545,6935.442493999972,2729.9662204234123,7.135657528085685,0.0,190,380,570,750,2000,3800,4800,5300,6200,6900,6900
