timestamp,elapsed_s,num_pods,hpa_targets,cpu_total_m
1780059284,0,1,1%/50%,4
1780059300,16,1,1%/50%,4
1780059315,31,1,65%/50%,164
1780059330,46,2,65%/50%,489
1780059345,61,2,33%/50%,167
1780059361,77,2,32%/50%,164
1780059376,92,2,38%/50%,190
1780059391,107,2,39%/50%,199
1780059406,122,2,38%/50%,190
1780059422,138,2,34%/50%,172
1780059437,153,2,38%/50%,192
1780059452,168,2,37%/50%,188
1780059467,183,2,33%/50%,166
1780059483,199,2,44%/50%,221
1780059498,214,3,62%/50%,314
1780059513,229,3,81%/50%,730
1780059528,244,5,68%/50%,515
1780059544,260,5,84%/50%,1278
1780059559,275,5,52%/50%,662
1780059574,290,7,65%/50%,824
1780059589,305,7,76%/50%,1620
1780059605,321,9,59%/50%,1036
1780059620,336,9,66%/50%,1892
1780059635,351,9,60%/50%,1546
1780059650,366,9,61%/50%,1232
1780059665,381,10,59%/50%,1341
1780059681,397,10,61%/50%,1756
1780059696,412,10,58%/50%,1465
1780059711,427,10,54%/50%,1370
1780059727,443,10,56%/50%,1410
1780059742,458,10,55%/50%,1390
1780059757,473,10,54%/50%,1366
1780059772,488,10,51%/50%,1299
1780059788,504,10,54%/50%,1359
1780059803,519,10,56%/50%,1403
1780059818,534,10,54%/50%,1363
1780059833,549,10,54%/50%,1368
1780059849,565,10,53%/50%,1340
1780059864,580,10,53%/50%,1347
1780059879,595,10,56%/50%,1422
1780059894,610,10,52%/50%,1314
1780059910,626,10,54%/50%,1366
1780059925,641,10,55%/50%,1389
1780059940,656,10,54%/50%,1355
1780059955,671,10,53%/50%,1340
1780059970,686,10,55%/50%,1380
1780059986,702,10,55%/50%,1376
1780060001,717,10,53%/50%,1335
1780060016,732,10,54%/50%,1364
1780060031,747,10,50%/50%,1269
1780060047,763,10,36%/50%,917
1780060062,778,10,18%/50%,457
1780060077,793,10,8%/50%,224
1780060092,808,9,6%/50%,165
1780060108,824,9,8%/50%,182
1780060123,839,8,8%/50%,198
1780060138,854,8,11%/50%,172
1780060153,869,7,8%/50%,187
1780060168,884,7,10%/50%,166
1780060184,900,6,9%/50%,191
1780060199,915,6,12%/50%,155
1780060214,930,5,10%/50%,190
1780060229,945,5,14%/50%,184
1780060245,961,4,17%/50%,176
1780060260,976,4,16%/50%,160
1780060275,991,3,19%/50%,146
1780060290,1006,2,25%/50%,109
1780060306,1022,2,30%/50%,154
1780060321,1037,2,32%/50%,161
1780060337,1053,2,32%/50%,161
1780060352,1068,2,39%/50%,198
1780060368,1084,2,37%/50%,189
1780060383,1099,2,28%/50%,141
