Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/book,7432,0,220,376.90290128471395,90.60741700000108,1950.258543000018,3380.104682454252,6.882306876987335,0.0,220,360,490,590,870,1100,1400,1600,1900,2000,2000
GET,/api/concerts,1461,0,3,11.006712691307268,2.1733439999707116,459.8245979999547,753.0,1.3529400359631991,0.0,3,3,5,11,34,50,71,90,220,460,460
GET,/health,727,0,3,9.742699910591918,2.1114079999051683,100.8083849999366,55.0,0.6732288885319958,0.0,3,3,5,9,33,48,70,78,100,100,100
,Aggregated,9620,0,160,293.5869139734914,2.1114079999051683,1950.258543000018,2729.839501039501,8.90847580148253,0.0,160,280,390,480,770,1000,1300,1500,1800,2000,2000
