Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/book,1347,0,1800,1805.9331808641402,123.67048299984162,4458.732830999907,3382.3422420193024,4.483507587613027,0.0,1800,2200,2400,2600,3000,3300,3700,3900,4400,4500,4500
GET,/api/concerts,289,0,28,46.69196704847885,2.2142040006656316,567.3022310002125,753.0,0.9619403807128173,0.0,28,46,57,64,91,180,300,360,570,570,570
GET,/health,117,0,24,41.03537194021198,2.0747899998241337,286.6045889995803,57.0,0.3894360710844278,0.0,24,46,54,68,95,140,170,250,290,290,290
,Aggregated,1753,0,1400,1398.1101606491795,2.0747899998241337,4458.732830999907,2726.9258414147175,5.834884039410272,0.0,1400,2000,2200,2400,2900,3200,3600,3800,4400,4500,4500
