timestamp,elapsed_s,num_pods,hpa_targets,cpu_total_m
1780231623,0,1,1%/50%,4
1780231638,15,1,11%/50%,29
1780231653,30,2,72%/50%,182
1780231668,45,2,72%/50%,182
1780231684,61,2,68%/50%,467
1780231699,76,2,39%/50%,198
1780231714,91,2,36%/50%,181
1780231729,106,2,36%/50%,183
1780231744,121,2,26%/50%,131
1780231760,137,3,57%/50%,285
1780231775,152,5,136%/50%,684
1780231790,167,7,189%/50%,1033
1780231805,182,7,121%/50%,1415
1780231821,198,7,75%/50%,1161
1780231836,213,7,52%/50%,922
1780231851,228,7,54%/50%,962
1780231866,243,7,54%/50%,951
1780231882,259,7,53%/50%,929
1780231897,274,7,53%/50%,937
1780231912,289,8,55%/50%,967
1780231927,304,8,57%/50%,999
1780231943,320,8,53%/50%,1316
1780231958,335,8,31%/50%,630
1780231973,350,8,10%/50%,243
1780231988,365,8,12%/50%,235
1780232003,380,7,11%/50%,248
1780232019,396,7,14%/50%,239
1780232034,411,6,13%/50%,170
1780232049,426,6,11%/50%,282
1780232064,441,5,18%/50%,1016
1780232080,457,7,81%/50%,1429
1780232095,472,9,114%/50%,1904
1780232110,487,10,110%/50%,1676
1780232125,502,10,78%/50%,1786
1780232141,518,10,65%/50%,1414
1780232156,533,10,56%/50%,1418
1780232171,548,10,56%/50%,1419
1780232186,563,10,56%/50%,1457
1780232202,579,10,58%/50%,1478
1780232217,594,10,59%/50%,1435
1780232232,609,10,57%/50%,1440
1780232247,624,10,57%/50%,586
1780232262,639,10,23%/50%,222
1780232278,655,10,8%/50%,230
1780232293,670,10,9%/50%,252
1780232308,685,9,10%/50%,202
1780232323,700,9,8%/50%,221
1780232339,716,8,9%/50%,190
1780232354,731,8,9%/50%,178
1780232369,746,7,8%/50%,241
1780232384,761,7,13%/50%,223
1780232400,777,6,12%/50%,188
1780232415,792,6,12%/50%,204
1780232430,807,5,13%/50%,203
1780232445,822,5,16%/50%,214
1780232461,838,4,17%/50%,95
1780232477,854,4,9%/50%,158
1780232492,869,3,15%/50%,134
1780232507,884,3,17%/50%,196
1780232523,900,2,21%/50%,106
1780232538,915,2,24%/50%,124
