Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/book,5012,1,330,858.116131139057,1.883998000266729,6810.966138000367,3381.8224261771747,5.566873111939965,0.0011107089209776468,330,580,880,1100,2700,3900,4800,5400,6500,6800,6800
GET,/api/concerts,953,0,3,30.76488880273196,2.5041560002136976,1907.1410310007195,753.0,1.0585056016916974,0.0,3,10,23,33,53,110,210,600,1900,1900,1900
GET,/health,473,0,3,24.55939859831004,2.38336700022046,1363.2078079990606,57.0,0.5253653196224269,0.0,3,6,14,26,54,72,150,380,1400,1400,1400
,Aggregated,6438,1,210,674.404098141496,1.883998000266729,6810.966138000367,2748.4100652376515,7.15074403325409,0.0011107089209776468,210,420,630,860,2100,3500,4600,5200,6400,6800,6800
