timestamp,elapsed_s,num_pods,hpa_targets,cpu_total_m
1780053024,0,1,2%/50%,5
1780053039,15,1,98%/50%,245
1780053055,31,4,200%/50%,862
1780053070,46,4,101%/50%,1293
1780053085,61,4,67%/50%,510
1780053100,76,4,66%/50%,504
1780053116,92,4,51%/50%,514
1780053131,107,4,49%/50%,498
1780053146,122,4,51%/50%,515
1780053161,137,4,50%/50%,505
1780053176,152,4,48%/50%,486
1780053192,168,4,50%/50%,508
1780053207,183,4,50%/50%,508
1780053222,198,4,49%/50%,493
1780053237,213,4,49%/50%,497
1780053253,229,4,49%/50%,494
1780053268,244,4,51%/50%,512
1780053283,259,4,50%/50%,508
1780053298,274,4,49%/50%,492
1780053314,290,4,51%/50%,516
1780053329,305,4,50%/50%,503
1780053344,320,4,47%/50%,472
