Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/book,1334,0,1800,1818.4547438733084,122.66647499927785,5031.743961999382,3379.571964017991,4.437272507517954,0.0,1800,2200,2500,2600,3100,3500,4000,4400,4900,5000,5000
GET,/api/concerts,281,0,29,47.31584219569873,2.278281999679166,681.5084909994766,753.0,0.9346878370408883,0.0,29,45,57,61,97,150,240,310,680,680,680
GET,/health,118,0,27,44.075364644105335,2.3945020002429374,312.9748760002258,56.0,0.39250236573247266,0.0,27,41,54,58,120,190,210,270,310,310,310
,Aggregated,1733,0,1400,1410.4531292625454,2.278281999679166,5031.743961999382,2727.380265435661,5.764462710291315,0.0,1400,1900,2200,2400,2900,3400,3800,4200,4900,5000,5000
